fecha,region,producto,ventas
2023-02-07,Norte,C,1028
2023-04-18,Sur,D,816
2023-01-13,Oeste,B,1698
2023-03-14,Oeste,B,1226
2023-01-10,Oeste,B,279
2023-03-17,Sur,A,1732
2023-01-06,Sur,A,642
2023-03-21,Sur,A,1274
2023-03-06,Este,C,361
2023-01-17,Norte,B,1599
2023-01-02,Oeste,C,195
2023-03-18,Norte,D,1485
2023-03-13,Este,D,1530
2023-04-20,Norte,C,1840
2023-01-07,Sur,A,1240
2023-01-26,Norte,B,1489
2023-02-20,Oeste,D,1146
2023-01-21,Este,A,1098
2023-04-12,Oeste,D,502
2023-01-19,Norte,B,321
2023-03-26,Este,C,1409
2023-01-12,Este,C,118
2023-04-17,Norte,A,152
2023-01-29,Sur,C,222
2023-01-30,Oeste,D,1667
2023-01-15,Norte,C,1429
2023-02-20,Norte,C,838
2023-03-10,Norte,C,1591
2023-03-29,Sur,A,477
2023-03-29,Este,B,1857
2023-04-16,Oeste,C,273
2023-04-24,Sur,D,847
2023-04-30,Norte,A,1047
2023-04-05,Norte,A,442
2023-04-07,Oeste,B,883
2023-03-28,Norte,B,1323
2023-01-14,Sur,B,1812
2023-04-16,Este,A,512
2023-01-10,Norte,C,1847
2023-01-08,Norte,D,895
2023-03-05,Oeste,C,1121
2023-03-03,Este,C,1935
2023-01-23,Oeste,A,247
2023-02-27,Este,C,1715
2023-01-02,Oeste,A,938
2023-01-01,Oeste,D,444
2023-03-02,Oeste,D,1118
2023-03-23,Este,D,314
2023-01-09,Oeste,D,1647
2023-03-30,Este,D,1353
2023-01-14,Oeste,A,1573
2023-04-26,Oeste,C,705
2023-02-17,Sur,D,371
2023-04-17,Oeste,B,1815
2023-03-14,Este,C,1978
2023-01-31,Norte,C,1681
2023-03-13,Oeste,A,471
2023-01-04,Este,C,1571
2023-03-12,Norte,B,1786
2023-01-22,Norte,C,1233
2023-02-19,Norte,A,1739
2023-02-27,Oeste,C,1590
2023-01-04,Oeste,D,268
2023-03-10,Norte,A,784
2023-01-25,Oeste,B,373
2023-04-24,Sur,A,975
2023-02-13,Este,C,700
2023-03-18,Este,C,1354
2023-01-27,Oeste,C,340
2023-02-22,Oeste,B,1477
2023-03-22,Sur,C,1206
2023-04-20,Oeste,C,1067
2023-04-26,Oeste,D,600
2023-02-11,Sur,B,114
2023-03-24,Oeste,A,776
2023-01-16,Norte,D,1150
2023-03-06,Este,B,1028
2023-03-10,Este,D,997
2023-01-26,Este,B,1468
2023-04-22,Norte,D,601
2023-04-09,Este,C,1146
2023-03-29,Este,C,1926
2023-01-08,Sur,A,962
2023-01-27,Norte,C,633
2023-01-26,Norte,A,296
2023-04-15,Norte,A,1063
2023-01-23,Norte,A,1812
2023-01-10,Este,C,1242
2023-03-09,Sur,D,1270
2023-04-14,Oeste,C,1477
2023-01-24,Oeste,A,1775
2023-04-11,Sur,A,751
2023-01-28,Norte,D,477
2023-02-07,Este,A,1560
2023-02-27,Este,B,944
2023-03-25,Sur,C,680
2023-02-08,Este,B,273
2023-01-09,Sur,C,1316
2023-02-02,Este,A,1213
2023-02-04,Sur,B,652
2023-01-11,Este,D,875
2023-01-24,Norte,B,875
2023-01-16,Norte,B,346
2023-04-22,Este,B,1413
2023-03-29,Este,B,1694
2023-01-26,Norte,C,363
2023-03-13,Sur,C,262
2023-04-26,Este,A,232
2023-04-03,Norte,B,1513
2023-03-16,Este,A,218
2023-03-04,Oeste,C,971
2023-02-16,Norte,D,1302
2023-02-02,Oeste,C,688
2023-03-30,Sur,B,529
2023-01-24,Norte,B,354
2023-02-25,Norte,C,1476
2023-03-07,Oeste,A,214
2023-04-24,Oeste,A,1505
2023-03-19,Este,B,192
2023-01-04,Oeste,D,1451
2023-01-01,Norte,A,832
2023-03-19,Oeste,B,851
2023-01-07,Este,B,765
2023-02-22,Oeste,A,1613
2023-03-27,Sur,A,347
2023-03-12,Este,A,1989
2023-01-03,Norte,C,1125
2023-03-18,Oeste,D,369
2023-04-02,Norte,C,216
2023-01-22,Norte,A,1162
2023-03-17,Norte,D,313
2023-01-08,Este,C,511
2023-03-19,Este,A,1802
2023-03-14,Oeste,C,1080
2023-03-17,Oeste,A,1285
2023-03-18,Norte,A,1893
2023-02-13,Este,A,1122
2023-01-21,Sur,B,1539
2023-01-31,Oeste,D,345
2023-02-06,Sur,A,213
2023-04-14,Sur,C,1750
2023-01-08,Norte,C,394
2023-02-15,Sur,A,128
2023-03-10,Este,C,1839
2023-02-27,Sur,C,1750
2023-04-23,Este,D,967
2023-03-24,Este,B,1155
2023-04-07,Sur,A,1303
2023-01-14,Norte,D,166
2023-01-11,Sur,A,1959
2023-01-24,Este,A,1966
2023-03-23,Oeste,D,1028
2023-01-08,Este,A,873
2023-01-25,Norte,D,1124
2023-03-16,Norte,D,1033
2023-04-03,Norte,D,1490
2023-01-21,Oeste,A,1964
2023-02-02,Este,A,1551
2023-01-13,Norte,C,464
2023-03-07,Oeste,D,1916
2023-04-05,Oeste,B,244
2023-03-02,Oeste,D,481
2023-04-16,Sur,B,964
2023-01-25,Oeste,B,324
2023-03-24,Norte,A,1421
2023-04-26,Este,D,252
2023-04-08,Este,A,377
2023-01-03,Oeste,D,1023
2023-04-19,Norte,C,146
2023-04-03,Sur,C,391
2023-04-14,Sur,C,1442
2023-04-09,Este,C,168
2023-01-11,Sur,C,1442
2023-02-24,Oeste,C,1668
2023-04-07,Este,C,349
2023-04-16,Norte,C,1169
2023-03-24,Sur,A,1980
2023-03-28,Sur,C,458
2023-03-12,Norte,B,471
2023-03-08,Sur,C,1038
2023-03-13,Oeste,B,157
2023-04-14,Oeste,C,1789
2023-02-18,Sur,C,900
2023-02-24,Este,D,460
2023-01-16,Oeste,B,133
2023-01-06,Este,A,1626
2023-01-18,Norte,A,746
2023-02-12,Este,B,293
2023-01-21,Norte,B,1431
2023-04-29,Este,D,1667
2023-02-18,Oeste,C,491
2023-01-23,Norte,B,1375
2023-04-12,Este,B,241
2023-01-14,Este,C,1251
2023-04-24,Norte,B,1511
2023-04-25,Oeste,D,512
2023-04-08,Este,D,1779
2023-02-23,Norte,B,897
2023-03-26,Oeste,C,1702
2023-01-11,Este,D,1875
2023-04-07,Oeste,C,161
2023-02-25,Oeste,B,1847
2023-03-03,Norte,D,1220
2023-02-26,Sur,D,1694
2023-03-31,Este,D,1078
2023-01-22,Sur,C,844
2023-04-14,Norte,B,1630
2023-04-07,Oeste,D,1030
2023-03-25,Este,D,898
2023-01-26,Este,A,285
2023-04-24,Este,A,196
2023-01-15,Norte,B,1045
2023-01-14,Sur,A,1632
2023-03-26,Este,B,914
2023-04-27,Oeste,B,439
2023-02-13,Sur,C,909
2023-01-07,Sur,C,376
2023-03-19,Sur,D,604
2023-02-26,Sur,C,1164
2023-03-01,Norte,A,1634
2023-01-16,Sur,A,1234
2023-01-25,Este,C,1558
2023-01-10,Sur,A,1116
2023-03-08,Norte,C,1626
2023-03-13,Norte,D,232
2023-02-23,Este,D,365
2023-03-11,Este,B,1248
2023-02-06,Oeste,C,484
2023-04-12,Sur,A,1342
2023-01-22,Norte,B,505
2023-02-10,Norte,A,1631
2023-03-19,Norte,D,1198
2023-04-02,Este,A,1273
2023-02-19,Oeste,C,1370
2023-04-24,Este,B,517
2023-02-17,Norte,D,1290
2023-03-19,Sur,D,1929
2023-02-10,Oeste,C,1679
2023-03-20,Sur,D,1227
2023-02-15,Sur,A,645
2023-03-29,Este,C,1219
2023-01-17,Sur,A,1549
2023-01-29,Sur,B,299
2023-04-17,Norte,D,169
2023-02-15,Sur,D,810
2023-03-09,Este,D,123
2023-04-27,Norte,A,1850
2023-03-08,Oeste,D,206
2023-03-20,Norte,A,1163
2023-02-16,Norte,D,131
